product_name,inventory_value,clean_name
PANTOSEC DSR CAP 10'C ,344023.1,PANTOSEC DSR
AZICIP 500MG 3'T (24),279480.96,AZICIP 500MG
PANTOSEC 40MG TAB 10'T ,199744.8,PANTOSEC 40MG
AZICIP 250 MG TAB 6'T ,196330.56,AZICIP 250
NICIP PLUS 10'T ,171985.0,NICIP PLUS
NFLOX TZ TAB ,169899.52,NFLOX TZ
CHESTON COLD TAB (WHITE) ,165225.40000000002,CHESTON COLD WHITE
CIPCAL 500MG TAB 15'T ,143573.13999999998,CIPCAL 500MG
AMOXYCLAV 625 MG 10'TAB ,127207.51,AMOXYCLAV 625
REXCOF DX SYRUP 100ML ,107831.36,REXCOF DX
NICIP 100MG 10'T ,99413.45,NICIP 100MG
FLUKA 150MG TAB 1'T ,95337.0,FLUKA 150MG
ZYMOX-500 CAP 10'C ,94750.89,ZYMOX-500
OFLOTAS OZ TAB 10'T ,89233.68,OFLOTAS OZ
RELIEF TAB 10'T' ,87481.32,RELIEF
REACTIN PLUS TAB 10'T ,83522.49,REACTIN PLUS
AMLIP 5 MG  TAB 10'T ,78728.31,AMLIP 5
FERICIP XT TAB 10'T ,77192.06,FERICIP XT
FENAK PLUS RANBAXY TAB 10'T ,76749.9,FENAK PLUS RANBAXY
GRISOLAB 250 MG TAB 10'T ,74417.92,GRISOLAB 250
INTAGESIC MR TAB 10'T ,63429.91,INTAGESIC MR
LABOCLOX LB CAP 10'C ,62076.81,LABOCLOX LB
NO SCARS CREAM 20GM ,61385.19,NO SCARS CREAM 20GM
ALKEMOX 500CAP 15'T ,56658.0,ALKEMOX 500CAP
OPTIMOX 500MG TAB ,56022.5,OPTIMOX 500MG
NODARD PLUS TAB 10'T ,55936.2,NODARD PLUS
MELAMET CREAM 15GM ,55446.66,MELAMET CREAM 15GM
AMOXYCLAV 375MG TAB 10'T ,54443.69,AMOXYCLAV 375MG
TRICARE MR TAB 10'T ,54220.0,TRICARE MR
MYFAIR OINT 20GM ,53922.89,MYFAIR OINT 20GM
CIPMOX 500 MG CAP YELLOW 15'T (12),53429.24,CIPMOX 500 YELLOW
MECOFOL PLUS CAP 10'C ,51983.78,MECOFOL PLUS
CIFTOX AZ LB TAB(NEW PACK) ,51965.0,CIFTOX AZ LB NEW PACK
SKINSHINE CREAM 15GM ,49350.1,SKINSHINE CREAM 15GM
CLINSOL GEL 15GM ,49115.0,CLINSOL GEL 15GM
DA ZEAGRA TAB 4'T ,48903.310000000005,DA ZEAGRA
CTZ TAB  (60*20) ,47753.48,CTZ 6020
ITRATEK 200MG CAP 10'C ,45840.0,ITRATEK 200MG
